nickname,institute,is_postdoc,avail_monday,avail_tuesday,avail_thursday,avail_friday,wants_volleyball,volleyball,wants_running_sprints,running_sprints,wants_basketball,basketball,wants_chess,chess,wants_tennis,tennis,wants_football,football,wants_capture_the_flag,capture_the_flag,wants_spikeball,spikeball,wants_beer_pong,beer_pong,wants_ping_pong,ping_pong,wants_fooseball,fooseball,num_sports,num_sports_not_avail,late_entry
Neglected Harrier,MPA,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,4,3,False
Precious Deer,IPP,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,2,0,False
Quixotic Zebu,MPA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,3,0,False
Frail Skunk,IPP,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
Honorable Pangolin,MPE,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,2,0,False
Extra-small Coyote,ESO,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,3,0,False
Damaged Fly,MPE,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,7,0,False
Delirious Robin,IPP,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,3,0,False
Trifling Tarpon,IPP,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,4,0,False
Medium Kiwi,ESO,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0,False
Jumpy Catfish,MPE,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,2,0,False
Trivial Uguisu,ESO,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False
Realistic Coral,IPP,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0,True
Blank Tiffany,USM,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0,False
Kindly Clownfish,MPE,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,4,0,False
Excited Rabbit,IPP,False,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,True,False,4,5,False
Pricey Collie,MPA,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,3,0,False
Failing Muskrat,IPP,False,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,6,0,False
Magnificent Barracuda,MPE,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,0,False
Reflecting Pug,MPE,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,3,0,False
Separate Akbash,ESO,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0,False
Rewarding Ermine,ESO,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,3,2,False
Exemplary Cassowary,MPA,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,4,0,False
Frightening Avocet,IPP,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,3,0,False
Qualified Buffalo,USM,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,5,0,False
Shameless Pufferfish,MPE,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,3,0,False
Far Chamois,MPA,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,2,0,False
Assured Flamingo,IPP,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2,0,False
Anchored Panther,IPP,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,3,0,False
